w1,w2,sim
learn about what might be the best ways to become an actor whether it would involve studying moving to a different place etc,if he can think of something more realistic for his career maybe he can do local amateur theatre as a hobby,0.6875026822090149
enacting some of these choices that bring him closer to his desired profession,find opportunities through the school postings etc,0.5774737596511841
enacting some of these choices that bring him closer to his desired profession,work hard on the desired profession keep the other job as long as necessary and quit when acting offers sufficient means for living,0.45542773604393005
robert grew up in a poor neighborhood where criminality and bullying was normal robert was bullied and always felt like an outsider being more interested in literature and theater than in money and girls robert currently has a job that he is not passionate about but he really dreams about making it as an actor,if he can think of something more realistic for his career maybe he can do local amateur theatre as a hobby,0.5292671918869019
developing a community and sense of belonging potentially being safer reinforcing his identity,maybe acting as a hobby will be sufficiently meaningful for his life that he can continue in his ordinary job,0.7296677231788635
try to find likeminded people including from the same neighbourhood,quitting the boring job eventually,0.2712359130382538
get a small part in something by auditioning wherever,maybe acting as a hobby will be sufficiently meaningful for his life that he can continue in his ordinary job,0.5464162230491638
find opportunities through the school postings etc,robert is now making a living as an actor,0.32683414220809937
work hard on the desired profession keep the other job as long as necessary and quit when acting offers sufficient means for living,robert is now making a living as an actor,0.5307808518409729
enacting some of these choices that bring him closer to his desired profession,quitting the boring job eventually,0.38623538613319397
he will learn that plural nouns use plural verbs,quitting the boring job eventually,0.3286075294017792
he gets his break,robert is now making a living as an actor,0.5025762915611267
learn about what might be the best ways to become an actor whether it would involve studying moving to a different place etc,quitting the boring job eventually,0.3680005967617035
robert grew up in a poor neighborhood where criminality and bullying was normal robert was bullied and always felt like an outsider being more interested in literature and theater than in money and girls robert currently has a job that he is not passionate about but he really dreams about making it as an actor,get a small part in something by auditioning wherever,0.27686864137649536
make friends others to help guide to next best steps from their experience,if he can think of something more realistic for his career maybe he can do local amateur theatre as a hobby,0.603545069694519
he will learn that plural nouns use plural verbs,enacting some of these choices that bring him closer to his desired profession,0.4069700241088867
join the local theater for experience,get in touch with a local amateur acting group and take some acting lessons and try to get a part in a play,0.7007604837417603
learn about what might be the best ways to become an actor whether it would involve studying moving to a different place etc,find opportunities through the school postings etc,0.4982895255088806
robert should go back to school and study grammar,he should forget about being an actor and find a new aspiration because making it as an actor is nearly impossible and it is already too late for him to make the connections,0.3878820538520813
robert should go back to school and study grammar,enacting some of these choices that bring him closer to his desired profession,0.37040576338768005
robert should go back to school and study grammar,he gets his break,0.3426092863082886
learn about what might be the best ways to become an actor whether it would involve studying moving to a different place etc,work hard on the desired profession keep the other job as long as necessary and quit when acting offers sufficient means for living,0.5059353709220886
enacting some of these choices that bring him closer to his desired profession,if he can think of something more realistic for his career maybe he can do local amateur theatre as a hobby,0.6178637742996216
if he can think of something more realistic for his career maybe he can do local amateur theatre as a hobby,find opportunities through the school postings etc,0.3769184350967407
if he can think of something more realistic for his career maybe he can do local amateur theatre as a hobby,work hard on the desired profession keep the other job as long as necessary and quit when acting offers sufficient means for living,0.5541508793830872
developing a community and sense of belonging potentially being safer reinforcing his identity,make friends others to help guide to next best steps from their experience,0.7242931723594666
robert grew up in a poor neighborhood where criminality and bullying was normal robert was bullied and always felt like an outsider being more interested in literature and theater than in money and girls robert currently has a job that he is not passionate about but he really dreams about making it as an actor,he should forget about being an actor and find a new aspiration because making it as an actor is nearly impossible and it is already too late for him to make the connections,0.6542506814002991
